timestamp,server,target_name,target_ip,status,transfer_bytes,bandwidth_bps,bandwidth_mbps,error
2026-04-08T21:24:48.002223,S2,H1,192.168.1.1,success,674758716,530413873,530.41,
2026-04-08T21:25:28.008656,S2,H2,192.168.2.1,error,0,0,0,Timeout
2026-04-08T21:25:38.349842,S2,H3,192.168.1.2,success,673316924,528535571,528.54,
2026-04-08T21:26:18.379847,S2,H4,192.168.2.2,error,0,0,0,Timeout
2026-04-08T21:26:28.719225,S2,H5,192.168.1.3,success,673710140,529210528,529.21,
2026-04-08T21:26:39.072407,S2,H6,192.168.1.4,success,673710140,528388091,528.39,
2026-04-08T21:26:49.410340,S2,H7,192.168.1.5,success,675414076,530794215,530.79,
2026-04-08T21:26:49.538145,S2,R1_VLAN1,192.168.1.254,error,0,0,0,No output from iperf
2026-04-08T21:26:49.665597,S2,R1_WAN,200.0.1.1,error,0,0,0,No output from iperf
2026-04-08T21:26:49.672676,S2,R2_WAN,200.0.1.2,error,0,0,0,No output from iperf
2026-04-08T21:26:49.679385,S2,R2_SVC,10.0.1.1,error,0,0,0,No output from iperf
2026-04-08T21:27:29.720697,S2,S1,10.0.1.2,error,0,0,0,Timeout
2026-04-08T21:27:39.895216,S2,PROXY,10.0.1.3,success,1133772860,893482915,893.48,
2026-04-08T21:37:12.084965,S2,H1,192.168.1.1,success,673316924,528983301,528.98,
2026-04-08T21:37:52.126299,S2,H2,192.168.2.1,error,0,0,0,Timeout
2026-04-08T21:38:02.444127,S2,H3,192.168.1.2,success,672137276,529221322,529.22,
2026-04-08T21:38:42.486197,S2,H4,192.168.2.2,error,0,0,0,Timeout
2026-04-08T21:38:52.824190,S2,H5,192.168.1.3,success,673710140,529300959,529.3,
2026-04-08T21:39:03.156140,S2,H6,192.168.1.4,success,673185852,529573626,529.57,
2026-04-08T21:39:13.505291,S2,H7,192.168.1.5,success,673054780,528727192,528.73,
2026-04-08T21:39:13.634141,S2,R1_VLAN1,192.168.1.254,error,0,0,0,No output from iperf
2026-04-08T21:39:13.761902,S2,R1_WAN,200.0.1.1,error,0,0,0,No output from iperf
2026-04-08T21:39:13.768667,S2,R2_WAN,200.0.1.2,error,0,0,0,No output from iperf
2026-04-08T21:39:13.775625,S2,R2_SVC,10.0.1.1,error,0,0,0,No output from iperf
2026-04-08T21:39:53.817381,S2,S1,10.0.1.2,error,0,0,0,Timeout
2026-04-08T21:40:03.998905,S2,PROXY,10.0.1.3,success,1138360380,896464372,896.46,
